อักษรย่อ,ชื่อเต็ม,แท็กหมวดหมู่
ร.ต.ท.,ร้อยตำรวจโท,ตำแหน่ง|ตำรวจ|ยศ 
ร.ต.อ.,ร้อยตำรวจเอก,ตำแหน่ง|ตำรวจ|ยศ
จ.,จังหวัด,สถานที่
อ.,อำเภอ,สถานที่
ต.,ตำบล,สถานที่
กทม.,กรุงเทพมหานคร,สถานที่
ธ.,ธนาคาร,สถานที่|หน่วยงาน|การเงิน|ธนาคาร
ธอส.,ธนาคารอาคารสงเคราะห์,สถานที่|หน่วยงาน|การเงิน|ธนาคาร
คสช.,คณะรักษาความสงบแห่งชาติ,หน่วยงาน|การปกครอง
กกต.,คณะกรรมการการเลือกตั้ง,หน่วยงาน|การปกครอง
กกท.,การกีฬาแห่งประเทศไทย,หน่วยงาน
กคช.,การเคหะแห่งชาติ,หน่วยงาน
ก.จ.,คณะกรรมการข้าราชการส่วนจังหวัด,หน่วยงาน|การปกครอง
ก.ต.,คณะกรรมการตุลาการ,หน่วยงาน
กทท.,การท่าเรือแห่งประเทศไทย,หน่วยงาน 
กทธ.,กรมทรัพยากรธรณี,หน่วยงาน
กปส.,กรมประชาสัมพันธ์,หน่วยงาน 
กปน.,การประปานครหลวง,หน่วยงาน 
กปภ.,การประปาส่วนภูมิภาค,หน่วยงาน
คค.,กระทรวงคมนาคม,หน่วยงาน
คตง.,คณะกรรมการตรวจเงินแผ่นดิน,หน่วยงาน
ธปท.,ธนาคารแห่งประเทศไทย,หน่วยงาน|การเงิน|ธนาคาร
สพฐ.,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,หน่วยงาน
กปร.,คณะกรรมการประสานงานโครงการอันเนื่องมาจากพระราชดำริ,หน่วยงาน
มท.,กระทรวงมหาดไทย,หน่วยงาน
กก,กระทรวงการท่องเที่ยวและกีฬา,หน่วยงาน
กก.ตชด.,กองกำกับการตำรวจตระเวนชายแดน,หน่วยงาน|ตำรวจ
กก.ตร.น.,กองกำกับการตำรวจน้ำ,หน่วยงาน|ตำรวจ
กกท.,การกีฬาแห่งประเทศไทย,หน่วยงาน
กกน.,กองกำกับการตำรวจนครบาล,หน่วยงาน|ตำรวจ
กก.ภ.จว.,กองกำกับการตำรวจภูธรจังหวัด,หน่วยงาน|ตำรวจ
กค,กระทรวงการคลัง,หน่วยงาน
กต,กระทรวงการต่างประเทศ,หน่วยงาน
มข.,มหาวิทยาลัยขอนแก่น,มหาวิทยาลัย|การศึกษา
มทส.,มหาวิทยาลัยเทคโนโลยีสุรนารี,มหาวิทยาลัย|การศึกษา
มธ.,มหาวิทยาลัยธรรมศาสตร์,มหาวิทยาลัย|การศึกษา
มช.,มหาวิทยาลัยเชียงใหม่,มหาวิทยาลัย|การศึกษา
มมส.,มหาวิทยาลัยมหาสารคาม,มหาวิทยาลัย|การศึกษา
มรภ.,มหาวิทยาลัยราชภัฏ,มหาวิทยาลัย|การศึกษา
ชม.,ชั่วโมง,หน่วย|เวลา
น.,นาฬิกา,หน่วย|เวลา
ม.ค.,มกราคม,เดือน|เวลา
ก.ค.,กรกฎาคม,เดือน|เวลา
ก.ย.,กันยายน,เดือน|เวลา
ธ.ค.,ธันวาคม,เดือน|เวลา
พฤ.,วันพฤหัสบดี,วัน|เวลา
เม.ย.,เมษายน,เดือน|เวลา
พ.ศ.,พุทธศักราช,ปี|เวลา|หน่วย
ม.ศ.,มหาศักราช,ปี|เวลา|หน่วย
สภ.,สถานีตำรวจภูธร,หน่วยงาน|สถานที่|ตำรวจ
สมอ.,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม,หน่วยงาน
อสม.,อาสาสมัครสาธารณสุข,อาชีพ
อา.,วันอาทิตย์,วัน|เวลา
ฮ.,เฮลิคอปเตอร์,เครื่องบิน
สนง.,สำนักงาน,หน่วยงาน|สถานที่
กง.ทบ.,กรมการเงินทหารบก,ทหาร|หน่วยงาน
กง.ทร.,กรมการเงินทหารเรือ,ทหาร|หน่วยงาน
กจ,กาญจนบุรี,จังหวัด
กบ,กระบี่,จังหวัด
กรพ.,กองรบพิเศษ,ทหาร
ค.บ.,ครุศาสตรบัณฑิต,บัณฑิต|การศึกษา
งป.,งบประมาณ,การเงิน
จนท.,เจ้าหน้าที่,ตำแหน่ง|อาชีพ
จฬ.,จุฬาลงกรณ์มหาวิทยาลัย,มหาวิทยาลัย|การศึกษา
ดก.,เดซิกรัม,หน่วย
ดคก.,เดคากรัม,หน่วย
ดคม.,เดคาเมตร,หน่วย
ดคล.,เดคาลิตร,หน่วย
ตร,ตราด,จังหวัด
ตร.ต.,สถานีตำรวจตำบล,สถานที่|หน่วยงาน|ตำรวจ
ตร.ทล.,ตำรวจทางหลวง,สถานที่|หน่วยงาน|ตำรวจ
สวล.,สำนักงานคณะกรรมการสิ่งแวดล้อม,หน่วยงาน
อต.,กรมอุตุนิยมวิทยา,หน่วยงาน
สปจ.,สำนักงานการประถมศึกษาจังหวัด,หน่วยงาน|การศึกษา
สผ.,สำนักงานนโยบายและแผนสิ่งแวดล้อม,หน่วยงาน
สธ.,กระทรวงสาธารณสุข,หน่วยงาน|กระทรวง
สพ.ญ.,สัตวแพทย์หญิง,อาชีพ
ส.ป.ส.ท.,สมาคมนักประชาสัมพันธ์แห่งประเทศไทย,กลุ่ม|สมาคม
หน.,หัวหน้า,ตำแหน่ง
อ.ส.ม.ท.,องค์การสื่อสารมวลชนแห่งประเทศไทย,หน่วยงาน|สื่อสาร
อจญ.,อาจารย์ใหญ่,ตำแหน่ง|อาชีพ
สทท.,สถานีวิทยุโทรทัศน์แห่งประเทศไทย,หน่วยงาน|สื่อสาร
สนนท.,สหพันธ์นิสิตนักศึกษาแห่งประเทศไทย,กลุ่ม|สมาคม|ชุมนุม
รมต.,รัฐมนตรี,ตำแหน่ง|อาชีพ
ร.ศ.,รัตนโกสินทร์ศก,หน่วย|เวลา|ปี
ทส,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กระทรวง|หน่วยงาน
รพ.,โรงพยาบาล,สถานที่
ม.อ.,มหาวิทยาลัยสงขลานครินทร์,มหาวิทยาลัย|การศึกษา
ขรก,ข้าราชการ,อาชีพ
กญ.,กองการศึกษาผู้ใหญ่,หน่วยงาน|การศึกษา
ก.ตร.,กรมตำรวจ,หน่วยงาน|ตำรวจ
กฟผ.,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,หน่วยงาน
กฟภ.,การไฟฟ้าส่วนภูมิภาค,หน่วยงาน
ศจ.,ศาสตราจารย์,ตำแหน่ง
กกร.,คณะกรรมการร่วมภาคเอกชน,หน่วยงาน
ผศ.,ผู้ช่วยศาสตราจารย์,ตำแหน่ง
กนอ,การนิคมอุตสาหกรรมแห่งประเทศไทย,หน่วยงาน
กกท.,คณะกรรมการการกีฬาแห่งประเทศไทย,หน่วยงาน
น.พ.,นายแพทย์,ตำแหน่ง|อาชีพ
พ.ญ.,แพทย์หญิง,ตำแหน่ง|อาชีพ
กสท.,การสื่อสารแห่งประเทศไทย,หน่วยงาน|สื่อสาร
ท.พ.,ทันตแพทย์,ตำแหน่ง|อาชีพ
ท.ญ.,ทันตแพทย์หญิง,ตำแหน่ง|อาชีพ
ครม.,คณะรัฐมนตรี,หน่วยงาน|กลุ่ม
คคบ.,คณะกรรมการคุ้มครองผู้บริโภค,หน่วยงาน|กลุ่ม
รมช.,รัฐมนตรีช่วยว่าการ,ตำแหน่ง|อาชีพ
รมว.,รัฐมนตรีว่าการ,ตำแหน่ง|อาชีพ
ททท.,การท่องเที่ยวแห่งประเทศไทย,หน่วยงาน
ส.ส.,สมาชิกสภาผู้แทนราษฎร,ตำแหน่ง|อาชีพ|การปกครอง
สจ.,สมาชิกสภาจังหวัด,ตำแหน่ง|อาชีพ|การปกครอง
ธกส.,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,หน่วยงาน|การเงิน|ธนาคาร
นิด้า,สถาบันบัณฑิตพัฒนบริหารศาสตร์,หน่วยงาน
ส.ภ.อ.,สมาชิกสภาอำเภอ,ตำแหน่ง
สวป.,สารวัตรปราบปราม,ตำแหน่ง|อาชีพ
บีโอไอ,คณะกรรมการส่งเสริมการลงทุน,หน่วยงาน
บ.,บริษัท,เศรษฐกิจ|บริษัท
บ.ด.ท.,บริษัทเดินอากาศไทย จำกัด,ขนส่ง
ท.ส.,นายทหารคนสนิท,ทหาร
สพม.,สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา,หน่วยงาน|การศึกษา
บช.น.,กองบัญชาการตำรวจนครบาล,ตำรวจ|หน่วยงาน
ผบ.,ผู้บัญชาการ,ตำแหน่ง
บช.ภ.,กองบัญชาการตำรวจภูธร,หน่วยงาน|ตำรวจ
ปตท.,การปิโตรเลียมแห่งประเทศไทย,เศรษฐกิจ|บริษัท
ทร.,ทหารเรือ,ทหาร
ท.อ.,ทหารอากาศ,ทหาร|ทหารอากาศ
ปปส.,คณะกรรมการป้องกันและปราบปรามยาเสพติด,หน่วยงาน
ปปป.,คณะกรรมการป้องกันและปราบปรามการทุจริตและประพฤติมิชอบในวงราชการ,หน่วยงาน
ม.,มหาวิทยาลัย,มหาวิทยาลัย|การศึกษา
มก.,มหาวิทยาลัยเกษตรศาสตร์,มหาวิทยาลัย|การศึกษา
มศว,มหาวิทยาลัยศรีนครินทรวิโรฒ,มหาวิทยาลัย|การศึกษา
สน.,สถานีตำรวจนครบาล,ตำรวจ|หน่วยงาน
อส.,อาสาสมัคร,ตำแหน่ง
ต.ช.ด.,ตำรวจตระเวนชายแดน,ตำรวจ|อาชีพ
สน.ภ.,สถานีตำรวจภูธร,ตำรวจ|หน่วยงาน
ศธ.,กระทรวงศึกษาธิการ,หน่วยงาน|กระทรวง
อย.,คณะกรรมการอาหารและยา,หน่วยงาน
ร.,รัชกาล,รัชสมัย
สต.,สตางค์,หน่วย|การเงิน
บ.,บาท,หน่วย|การเงิน
ปท.,ไปรษณีย์โทรเลข,สื่อสาร
รัฐฯ,รัฐบาล,หน่วยงาน
น.ร.,นักเรียนนายเรือ,ทหาร|ทหารเรือ
จ.ต.,จ่าตรี,ทหาร|ทหารเรือ|ยศ
จ.ท.,จ่าโท,ทหาร|ทหารเรือ|ยศ
จ.อ.,จ่าเอก,ทหาร|ทหารเรือ|ยศ
พ.จ.ต.,พันจ่าตรี,ทหาร|ทหารเรือ|ยศ
พ.จ.ท.,พันจ่าโท,ทหาร|ทหารเรือ|ยศ
พ.จ.อ.,พันจ่าเอก,ทหาร|ทหารเรือ|ยศ
พล.ร.ต.,พลเรือตรี,ทหาร|ทหารเรือ|ยศ
พล.ร.ท.,พลเรือโท,ทหาร|ทหารเรือ|ยศ
พล.ร.อ.,พลเรือเอก,ทหาร|ทหารเรือ|ยศ
ร.ต.,ร้อยตรี,ทหาร|ทหารบก|ยศ
ร.ท.,ร้อยโท,ทหาร|ทหารบก|ยศ
ร.อ.,ร้อยเอก,ทหาร|ทหารบก|ยศ
พ.อ.,พันเอก,ทหาร|ทหารบก|ยศ
ปชส.,ประชาสัมพันธ์,สื่อสาร|อื่นๆ
รธน.,รัฐธรรมนูญ,กฎหมาย|การปกครอง
กม.,กฎหมาย,กฎหมาย|การปกครอง
ส.ต.ต.,สิบตำรวจตรี,ตำรวจ|อาชีพ|ยศ
ส.ต.ท.,สิบตำรวจโท,ตำรวจ|อาชีพ|ยศ
ส.ต.อ.,สิบตำรวจเอก,ตำรวจ|ยศ
ด.ต.,ดาบตำรวจ,ยศ|ตำรวจ
จ.ส.ต.,จ่าสิบตำรวจ,ตำรวจ|ยศ
กฟน.,การไฟฟ้านครหลวง,หน่วยงาน
กยศ.,กองทุนเงินกู้ยืมเพื่อการศึกษา,การศึกษา
กวช.,คณะกรรมการวัฒนธรรมแห่งชาติ,หน่วยงาน
กสทช.,คณะกรรมการกิจการกระจายเสียง กิจการโทรทัศน์ และกิจการโทรคมนาคมแห่งชาติ,หน่วยงาน|สื่อสาร
กสม.,สำนักงานคณะกรรมการสิทธิมนุษยชนแห่งชาติ,หน่วยงาน
กทพ.,การทางพิเศษแห่งประเทศไทย,ขนส่ง
กทม.,กรุงเทพมหานคร,จังหวัด|สถานที่
ตลท.,ตลาดหลักทรัพย์แห่งประเทศไทย,เศรษฐกิจ|บริษัท
ครน.,คูณร่วมน้อย,คณิตศาสตร์|การศึกษา
นสพ.,หนังสือพิมพ์,สื่อสาร
ภ.พ.,ภาษีมูลค่าเพิ่ม,เศรษฐกิจ
มมส.,มหาวิทยาลัยมหาสารคาม,มหาวิทยาลัย|การศึกษา
สดร.,สถาบันวิจัยดาราศาสตร์แห่งชาติ(องค์การมหาชน),วิจัย|วิทยาศาสตร์|การศึกษา|หน่วยงาน
หรม.,หารร่วมมาก,คณิตศาสตร์|การศึกษา
อบต.,องค์การบริหารส่วนตำบล,หน่วยงาน|การปกครอง
ร.ม.ภ.,ราชมิตราภรณ์,เครื่องราชอิสริยาภรณ์
ม.จ.ก.,มหาจักรีบรมราชวงศ์,เครื่องราชอิสริยาภรณ์
น.ร.,นพรัตนราชวราภรณ์,เครื่องราชอิสริยาภรณ์
ป.จ.ว.,ปฐมจุลจอมเกล้าวิเศษ,เครื่องราชอิสริยาภรณ์
ร.ว.,รัตนวราภรณ์,เครื่องราชอิสริยาภรณ์
ป.จ.,ปฐมจุลจอมเกล้า,เครื่องราชอิสริยาภรณ์
ม.จ.,หม่อมเจ้า,คำนำหน้า|บุคคล|เชื้อพระวงศ์
ม.ร.ว.,หม่อมราชวงศ์,คำนำหน้า|บุคคล|เชื้อพระวงศ์
ม.ล.,หม่อมหลวง,คำนำหน้า|บุคคล|เชื้อพระวงศ์
รมว.,รัฐมนตรีว่าการกระทรวง,ตำแหน่ง
ว.ด.ป.,วัน เดือน ปี,อื่นๆ
มทร.,มหาวิทยาลัยเทคโนโลยีราชมงคล,มหาวิทยาลัย|การศึกษา
อสมท.,องค์การสื่อสารมวลชนแห่งประเทศไทย,หน่วยงาน|สื่อสาร
สสวท.,สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี,การศึกษา|หน่วยงาน|วิทยาศาสตร์
ฮ.ศ.,ฮิจเราะห์ศักราช,หน่วย|เวลา|ปี
กปปส.,คณะกรรมการประชาชนเพื่อการเปลี่ยนแปลงประเทศไทยให้เป็นประชาธิปไตยที่สมบูรณ์อันมีพระมหากษัตริย์ทรงเป็นประมุข,กลุ่ม|ชุมนุม|การเมือง
นปช.,แนวร่วมประชาธิปไตยต่อต้านเผด็จการแห่งชาติ,กลุ่ม|ชุมนุม|การเมือง
นตท.,นักเรียนเตรียมทหาร,ทหาร|การศึกษา
ทรท.,โทรทัศน์รวมการเฉพาะกิจแห่งประเทศไทย,สื่อสาร
ปณ.,ที่ทำการไปรษณีย์,สถานที่|สื่อสาร
ป.ล.,ปัจฉิมลิขิต,อื่นๆ
สอท.,สถานเอกอัครราชทูต,สถานที่|หน่วยงาน
สวทช.,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,วิทยาศาสตร์|การศึกษา|หน่วยงาน
น้อมเกล้าฯ,น้อมเกล้าน้อมกระหม่อม,อื่นๆ
ปชป.,พรรคประชาธิปัตย์,การเมือง|พรรคการเมือง
มท,กระทรวงมหาดไทย,กระทรวง|หน่วยงาน
ผบก.ภ.,ผู้บังคับการตำรวจภูธร,ตำแหน่ง|ตำรวจ
พ.ร.ก.,พระราชกำหนด,กฎหมาย|การปกครอง
พ.ร.ฎ.,พระราชกฤษฎีกา,กฎหมาย|การปกครอง
พ.ร.บ.,พระราชบัญญัติ,กฎหมาย|การปกครอง
พล.ปตอ.,กองพลทหารปืนใหญ่ต่อสู้อากาศยาน,ทหาร
ร.น.,ราชนาวี,ทหาร|ทหารเรือ
จขกท,เจ้าของกระทู้,อื่นๆ
สวท.,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,สื่อสาร|หน่วยงาน
ส.ว.,สมาชิกวุฒิสภา,อาชีพ|การปกครอง|กฎหมาย
ธสอ.,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย,ธนาคาร|เศรษฐกิจ|การเงิน
